1.34 1.73 1.59 0.95 1.65 1.4 1.05 0.67 1 1 1 1 3 0 3 3
1.15 1.44 1 1.02 1.22 1.23 0.84 0.74 1 0 0 1 0 0 2 3
1.48 1.3 1.69 1.47 2.03 1.42 1.33 2.18 0 0 0 0 1 0 0 0
0.71 0.88 0.7 0.7 1.48 1.11 0.89 0.94 1 0 1 1 1 3 3 2
1.08 0.92 0.72 1.15 1.12 1.41 1.08 1.32 0 1 1 1 3 0 0 2
1.98 1.48 1.31 1.58 1.32 2.12 1.1 1.13 0 0 0 1 0 0 1 0
1.65 1.68 1.88 1.64 1.42 1.7 1.76 1.96 0 1 0 0 0 0 2 1
0.9 1.16 1.03 0.8 0.74 1.3 0.81 1.35 1 0 0 1 1 0 1 3
1.24 1.04 1.47 1.07 1.67 1.1 1.4 0.91 1 0 1 0 2 1 0 3
0.72 0.98 0.98 1 1.48 1.35 0.97 1.29 1 1 1 1 3 3 0 3
1.02 0.48 0.49 0.39 0.64 0.01 0.23 0.27 0 0 0 0 1 0 1 0
0.86 0.74 0.41 0.78 0.24 0.71 0.74 0.67 0 0 0 0 0 0 0 0
1.02 0.74 1.14 0.9 1.05 1.3 1.34 1.12 1 0 1 1 1 2 1 3
1.22 1.09 0.82 0.96 1.43 1.46 1.12 1.11 1 0 0 0 2 0 2 3
0.36 0.55 0.85 0.75 0.81 0.81 0.6 0.81 0 0 0 0 0 0 0 0
1 1.04 1.04 0.74 1.96 1 1.09 1.19 1 0 0 0 1 0 0 3
1.03 1.27 1.17 0.94 1.53 1.67 1.13 1.41 1 0 0 0 3 0 2 3
0.88 0.61 0.95 0.99 1.38 1.18 0.83 1 0 0 0 0 2 0 0 3
0.53 0.48 0.57 0.23 -0.06 0.35 0.26 0.31 0 0 0 0 0 0 0 0
1.96 1.15 1.2 1.42 1.97 1.85 1.67 1.24 0 0 1 1 2 0 2 3
1.01 0.88 1.22 1.08 1.16 1.43 1.13 0.91 1 0 1 1 3 0 1 3
1.32 1.04 1.37 1.02 1.39 1.65 1.62 1.52 1 0 0 0 3 3 1 0
0.83 0.93 0.81 1 1.45 1.29 1.09 0.64 1 0 1 1 3 0 1 3
1.57 0.88 0.83 1.07 1.26 1.5 1.26 1.14 1 1 0 0 1 0 1 0
1.14 0.89 0.78 0.7 1.03 1.6 0.87 0.7 0 0 0 0 2 0 0 2
0.9 1.37 1.12 1 1.64 1.11 0.94 0.69 0 0 0 0 0 1 0 2
1.45 1.29 0.85 0.81 1.01 1.82 1.27 1.06 1 0 1 0 0 0 0 3
1.36 1.4 1.18 1.05 1.55 1.44 1.57 1.65 1 0 0 0 1 3 1 0
1.29 1.41 1.73 1.58 1.59 1.5 1.76 1.76 1 0 0 1 1 0 0 3
